0:00:21.877833671  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:21.883377006  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:24.366811161  6392 0000000008A69F80 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:24.368257515  6392 0000000008A69F80 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:24.368896040  6392 0000000008A69F80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:24.369015165  6392 0000000008A69F80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:24.391719778  6392 000000000EF16140 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:24.391822815  6392 000000000EF16140 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:24.392360218  6392 000000000EF16140 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:24.392428016  6392 000000000EF16140 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:24.394281540  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:24.396032026  6392 0000000008AFA090 WARN            d3dvideosink d3dhelpers.c:995:d3d_window_wndproc_unset:<videoRenderD3D> D3D window proc is not set on current window
0:00:26.856357846  6392 0000000008A69F80 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:26.856512977  6392 0000000008A69F80 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
0:00:26.857948223  6392 0000000008A69F80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: Internal data flow error.
0:00:26.858053175  6392 0000000008A69F80 WARN                 basesrc gstbasesrc.c:2933:gst_base_src_loop:<source> error: streaming task paused, reason error (-5)
0:00:26.876872244  6392 000000000EF160C0 ERROR                   rtmp :0:: Closing connection: NetStream.Play.StreamNotFound
0:00:26.877037717  6392 000000000EF160C0 WARN                 rtmpsrc gstrtmpsrc.c:394:gst_rtmp_src_create:<source> error: Failed to read any data from stream, check your URL
